company_name,career_url,harshit_priority_score,priority_tier,profile_priority,sector,best_fit_role_families,employment_rule,generic_sales_frontline_rule,secondary_finance_score,why_it_fits_or_drop_reason,dashboard_default_visibility,dashboard_optional_group,include_in_scrape_registry,source_status,ireland_relevance_basis,evidence_status
Keysight Technologies,https://about.keysight.com/en/careers/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Lam Research,https://www.lamresearch.com/careers/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
MSCI,https://www.msci.com/careers,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Macquarie Group,https://www.macquarie.com/au/en/careers.html,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Marvell Technology,https://www.marvell.com/company/careers.html,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Microchip Technology,https://careers.microchip.com/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Monzo,https://monzo.com/careers,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Morningstar,https://www.morningstar.com/careers,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
NVIDIA,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
NXP Semiconductors,https://nxp.wd3.myworkdayjobs.com/careers,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Nokia,https://www.nokia.com/careers/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Novartis,https://www.novartis.com/careers/career-search?country%5B0%5D=IE,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Nutanix,https://www.nutanix.com/careers,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Optum,https://www.optum.ie/careers.html,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Perrigo,https://careers.perrigo.com/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Qualcomm,https://www.qualcomm.com/company/careers,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Quantexa,https://www.quantexa.com/careers/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Riot Games,https://www.riotgames.com/en/work-with-us/offices/dublin,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Rockwell Automation,https://rockwellautomation.wd1.myworkdayjobs.com/External_Rockwell_Automation,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
STMicroelectronics,https://www.st.com/content/st_com/en/about/careers.html,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Seagate,https://www.seagate.com/careers/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Smartling,https://www.smartling.com/careers/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
SumUp,https://www.sumup.com/careers/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Synopsys,https://careers.synopsys.com/search-jobs,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Takeda,https://takeda.wd3.myworkdayjobs.com/External,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Teva Pharmaceuticals,https://teva.wd1.myworkdayjobs.com/Teva_Careers,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Texas Instruments,https://careers.ti.com/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Trading 212,https://www.trading212.com/careers,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
TransferMate,https://www.transfermate.com/careers/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Trend Micro,https://www.trendmicro.com/en_ie/about/careers.html,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
UBS,https://www.ubs.com/ie/en/careers.html,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Virgin Media Ireland,https://www.virginmedia.ie/careers/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Waystone,https://www.waystone.com/careers/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Workhuman,https://workhuman.com/careers,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
WuXi Biologics,https://www.wuxibiologics.com/careers/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Zurich Insurance,https://www.zurich.ie/about-us/careers/,86,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Daon,https://www.daon.com/careers/,85,P2 — Strong,Harshit primary,Technology / SaaS,Data/BI Analyst; Business Operations Analyst; Customer/Revenue Analytics; Implementation/CS Ops,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",64.0,Good for BI/ops/implementation roles; pure software engineering/data science roles are materially harder.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Amgen,https://careers.amgen.com/search-jobs/Ireland,75,P3 — Selective,Secondary / exact-fit,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",70.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Fidelity Investments,https://jobs.fidelity.com/location/ireland-jobs/2324/2963597/2,75,P3 — Selective,Secondary / exact-fit,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",70.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Morgan Stanley,https://morganstanley.tal.net/vx/lang-en-GB/mobile-0/brand-2/user-home,75,P3 — Selective,Secondary / exact-fit,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",70.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Siemens,https://www.siemens.com/ie/en/company/jobs.html,75,P3 — Selective,Secondary / exact-fit,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",70.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
Siemens Healthineers,https://www.siemens-healthineers.com/careers,75,P3 — Selective,Secondary / exact-fit,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",70.0,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,True,validated_candidate_addition,Curated candidate universe; Republic of Ireland employer presence retained; vacancy-level verification pending,Candidate promotion to 300; live vacancy verification pending
