dashboard_rank,company_name,career_url,source_type,harshit_priority_score,priority_tier,profile_priority,sector,best_fit_role_families,employment_rule,generic_sales_frontline_rule,secondary_finance_score,why_it_fits_or_drop_reason,dashboard_default_visibility,dashboard_optional_group,include_in_scrape_registry,source_status,ireland_relevance_evidence,current_live_jobs_evidence,current_relevant_jobs_evidence
14,Avanade,https://www.avanade.com/en/career,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
15,BearingPoint,https://bearingpoint.com/en/careers,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,11,4
16,Capgemini,https://www.capgemini.com/careers/,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,2,1
17,Cisco,https://jobs.cisco.com/main/jobs?location=Ireland,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,validated_live_other,"Current Republic of Ireland employment evidence, but no target-role match in latest data",10,0
18,Cognizant,https://careers.cognizant.com/global/en,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,validated_live_other,"Current Republic of Ireland employment evidence, but no target-role match in latest data",4,0
19,Dell Technologies,https://jobs.dell.com/location/ireland-jobs/375/2963597/2,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,validated_live_other,"Current Republic of Ireland employment evidence, but no target-role match in latest data",7,0
20,DXC Technology,https://dxc.wd1.myworkdayjobs.com/DXC_Jobs,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
21,Ekco,https://www.ek.co/careers/,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
22,Ericsson,https://jobs.ericsson.com/search/?q=&locationsearch=Ireland,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,validated_live_other,"Current Republic of Ireland employment evidence, but no target-role match in latest data",1,0
23,Fujitsu,https://fujitsu.com/ie/about/careers,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
24,HCLTech,https://www.hcltech.com/careers,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,10,3
25,IBM,https://www.ibm.com/careers/search?field_keyword_05[0]=Ireland,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
26,Infosys,https://www.infosys.com/careers.html,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,3,1
27,Integrity360,https://www.integrity360.com/careers,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
28,Kyndryl,https://www.kyndryl.com/us/en/careers,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
29,Noesis,https://www.noesis.pt/en/careers,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
30,NTT DATA,https://careers.nttdata.com/,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,27,12
31,OpenText,https://careers.opentext.com/,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
32,Quest Software,https://careers.quest.com/,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
33,Red Hat,https://www.redhat.com/en/jobs,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
34,SolarWinds,https://jobs.solarwinds.com/,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
35,Tata Consultancy Services (TCS),https://www.tcs.com/careers,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,validated_live_other,"Current Republic of Ireland employment evidence, but no target-role match in latest data",1,0
36,Tricentis,https://www.tricentis.com/company/careers,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
37,Version 1,https://www.version1.com/careers/,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,56,18
38,Wipro,https://careers.wipro.com/,employer,99,P1 — Focus,Harshit primary,Tech Consulting / Enterprise,Business Analyst; ERP/D365/Implementation Analyst; Technology Consultant; BI Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",78,"Your ERP/D365, UAT, SQL/Python and client-delivery background maps directly to implementation/transformation roles.",visible,core_harshit,yes,validated_live_other,"Current Republic of Ireland employment evidence, but no target-role match in latest data",1,0
39,Databricks,https://www.databricks.com/company/careers/open-positions,employer,95,P1 — Focus,Harshit primary,Data / AI Platform,Data Analyst; Data Engineer; Solutions Architect; Technology Consultant,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",55,External Ireland role/person evidence; strong local Databricks ecosystem,visible,core_harshit,yes,added_external_ireland_role_evidence,External Ireland role/person evidence; strong local Databricks ecosystem,0,0
40,Codec,https://www.codec.ie/careers,employer,92,P1 — Focus,Harshit primary,Corporate / Services,Business Analyst; Data/BI Analyst; Operations/Transformation Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",68,"Solid transferable fit for business analysis, BI, transformation and operations roles; exact vacancy and referral will drive outcome.",visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,14,7
41,Kitman Labs,https://www.kitmanlabs.com/careers/,employer,92,P1 — Focus,Harshit primary,Corporate / Services,Business Analyst; Data/BI Analyst; Operations/Transformation Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",68,"Solid transferable fit for business analysis, BI, transformation and operations roles; exact vacancy and referral will drive outcome.",visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,4,3
42,Teneo Ireland,https://www.teneo.com/careers/,employer,92,P1 — Focus,Harshit primary,Corporate / Services,Business Analyst; Data/BI Analyst; Operations/Transformation Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",68,"Solid transferable fit for business analysis, BI, transformation and operations roles; exact vacancy and referral will drive outcome.",visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
43,Aer Lingus,https://www.aerlingus.com/about-us/careers/,employer,90,P1 — Focus,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",85,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
44,Amazon,https://www.amazon.jobs/en/locations/dublin-ireland,employer,90,P4 — Exact-fit only,Low priority,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",59,"Strong analytics/implementation foundation, but brand-selective hiring and role competition make this a reach; referral + exact-role fit matters.",visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,196,22
45,Google,https://www.google.com/about/careers/applications/jobs/results/?location=Ireland,employer,90,P4 — Exact-fit only,Low priority,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",59,"Strong analytics/implementation foundation, but brand-selective hiring and role competition make this a reach; referral + exact-role fit matters.",visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,114,17
46,Kerry Group,https://jobs.kerry.com/search/?q=&locationsearch=Ireland,employer,90,P1 — Focus,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",85,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,1,1
47,MongoDB,https://www.mongodb.com/careers/jobs?location=Dublin%2C%20Ireland,employer,90,P4 — Exact-fit only,Low priority,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",59,"Strong analytics/implementation foundation, but brand-selective hiring and role competition make this a reach; referral + exact-role fit matters.",visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,70,12
48,Musgrave Group (SuperValu / Centra),https://www.musgravegroup.com/careers/,employer,90,P1 — Focus,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",85,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,41,1
49,Northern Trust,https://northerntrust.wd1.myworkdayjobs.com/External_Careers,employer,90,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,83,10
50,Ornua,https://www.ornua.com/careers/,employer,90,P1 — Focus,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",85,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
51,Ryanair,https://careers.ryanair.com/,employer,90,P1 — Focus,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",85,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,16,2
52,Stripe,https://stripe.com/jobs,employer,90,P4 — Exact-fit only,Low priority,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",59,"Strong analytics/implementation foundation, but brand-selective hiring and role competition make this a reach; referral + exact-role fit matters.",visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,51,12
53,Tesco Ireland,https://www.tesco-careers.com/search-jobs/?location=Ireland,employer,90,P1 — Focus,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",85,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,yes,strategic_unverified,Strategic target; Ireland relevance not yet proven by dashboard vacancy history,0,0
54,Bloomberg,https://www.bloomberg.com/careers/,employer,88,P2 — Strong,Harshit primary,Financial Data / Technology,Data Analyst; Financial Analyst; BI Analyst; Product Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",70,External Dublin analyst/technical employment evidence,visible,core_harshit,yes,added_external_ireland_role_evidence,External Dublin analyst/technical employment evidence,0,0
55,Boston Consulting Group (BCG),https://careers.bcg.com/locations/ireland,employer,88,P2 — Strong,Harshit primary,Strategy / Consulting,Business Analyst; Strategy; Transformation; Data & Analytics,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",70,Ireland consulting recruitment footprint,visible,core_harshit,yes,added_external_ireland_role_evidence,Ireland consulting recruitment footprint,0,0
56,Grant Thornton Ireland,https://iegt.wd3.myworkdayjobs.com/GTI_External_Careers_Experienced_Hires_ROI,employer,88,P2 — Strong,Harshit primary,Finance / Risk,Risk/Compliance Analyst; Data/BI Analyst; Business Analyst; Operations Analyst,Keep any employment type when role-relevant; exclude generic part-time work,"Exclude generic sales, retail, hospitality, customer service and frontline roles",81,Analytics plus market-surveillance project helps; finance pedigree/domain depth is weaker than your business/implementation fit.,visible,core_harshit,yes,validated_live_relevant,Current Republic of Ireland job evidence in target role families,54,9
